postcode,Venue Locality,LGA,Federal Electorate,Vic State electorate,Venues,Master Table
0200,ANU,Unincorporated ACT,Durack,,,recUcy8JrFzvnR2Pq
0200,Australian National University,Unincorporated ACT,Durack,,,recHomrrE5STmXc61
0800,DARWIN,Darwin Waterfront Precinct,Solomon,,,recYgHlFp5D2eB1Tu
0800,DARWIN CITY,Darwin Waterfront Precinct,Solomon,,,
0801,DARWIN,Darwin Waterfront Precinct,Lingiari,,,
0803,WAGAIT BEACH,,,,,
0804,PARAP,Darwin,Durack,,,
0810,ALAWA,Darwin,Solomon,,,
0810,BRINKIN,Darwin,Solomon,,,
0810,CASUARINA,Darwin,Solomon,,,
0810,COCONUT GROVE,Darwin,Solomon,,,
0810,JINGILI,Darwin,Solomon,,,
0810,LEE POINT,Darwin,Solomon,,,
0810,LYONS,Darwin,Solomon,,,
0810,MILLNER,Darwin,Solomon,,,
0810,MOIL,Darwin,Solomon,,,
0810,MUIRHEAD,Darwin,Solomon,,,
0810,NAKARA,Darwin,Solomon,,,
0810,NIGHTCLIFF,Darwin,Solomon,,,
0810,RAPID CREEK,Darwin,Solomon,,,
0810,TIWI,Darwin,Solomon,,,
0810,WAGAMAN,Darwin,Solomon,,,
0810,WANGURI,Darwin,Solomon,,,
0811,CASUARINA,Darwin,Durack,,,
0812,ANULA,Darwin,Solomon,,,
0812,BUFFALO CREEK,Darwin,Solomon,,,
0812,HOLMES,Darwin,Solomon,,,
0812,KARAMA,Darwin,Solomon,,,
0812,LEANYER,Darwin,Solomon,,,
0812,MALAK,Darwin,Solomon,,,
0812,MARRARA,Darwin,Solomon,,,
0812,NORTHLAKES,Darwin,Solomon,,,
0812,SANDERSON,Darwin,Solomon,,,
0812,WOODLEIGH GARDENS,Darwin,Solomon,,,
0812,WULAGI,Darwin,Solomon,,,
0813,KARAMA,Darwin,,,,
0813,SANDERSON,Darwin,Durack,,,
0814,NIGHTCLIFF,Darwin,Durack,,,
0815,CHARLES DARWIN UNIVERSITY,Darwin,Solomon,,,
0820,BAGOT,Darwin,Solomon,,,
0820,BAYVIEW,Darwin,Solomon,,,
0820,CHARLES DARWIN,Darwin,Solomon,,,
0820,COONAWARRA,Darwin,Solomon,,,
0820,CULLEN BAY,Darwin,Solomon,,,
0820,DARWIN DC,Darwin,Solomon,,,
0820,DARWIN INTERNATIONAL AIRPORT,Darwin,Solomon,,,
0820,DARWIN MC,Darwin,Solomon,,,
0820,EAST POINT,Darwin,Solomon,,,
0820,EATON,Darwin,Solomon,,,
0820,FANNIE BAY,Darwin,Solomon,,,
0820,LARRAKEYAH,Darwin,Solomon,,,
0820,LUDMILLA,Darwin,Solomon,,,
0820,PARAP,Darwin,Solomon,,,
0820,RAAF BASE DARWIN,Darwin,Solomon,,,
0820,STUART PARK,Darwin,Solomon,,,
0820,THE GARDENS,Darwin,Solomon,,,
0820,THE NARROWS,Darwin,Solomon,,,
0820,WINNELLIE,Darwin,Solomon,,,
