id,name,parkName,tourismRegion,landscapeTags,,
brisbane-ranges-national-park-boar-gully-camping-area-brisbane-ranges-national-park,"Boar Gully Camping Area, Brisbane Ranges National Park",Brisbane Ranges National Park,Daylesford and Macedon Ranges,valley_gorge,mountains_alpine
brisbane-ranges-national-park-fridays-picnic-area-brisbane-ranges-national-park,"Fridays Picnic Area, Brisbane Ranges National Park",Brisbane Ranges National Park,Geelong and the Bellarine,valley_gorge,mountains_alpine,river_creek
brisbane-ranges-national-park-little-river-picnic-area-and-walk-in-camping-ground-brisbane-ranges-national-park,"Little River Picnic Area and Walk-in Camping Ground, Brisbane Ranges National Park",Brisbane Ranges National Park,Geelong and the Bellarine,valley_gorge,mountains_alpine,beach_coast
brisbane-ranges-national-park-old-mill-walk-in-camping-brisbane-ranges-national-park,"Old Mill Walk-in Camping, Brisbane Ranges National Park",Brisbane Ranges National Park,Geelong and the Bellarine,valley_gorge,mountains_alpine,beach_coast
buchan-at-cave-reserve-buchan-work-centre-buchan-at-cave-reserve,"Buchan, Work Centre, Buchan (AT) Cave Reserve",Buchan (AT) Cave Reserve,Gippsland,,,
cape-conran-coastal-park-banksia-bluff-campground-cape-conran-coastal-park,"Banksia Bluff Campground, Cape Conran Coastal Park",Cape Conran Coastal Park,Gippsland,beach_coast,river_creek,lake_wetland
cape-conran-coastal-park-binns-beach-cape-conran-coastal-park,"Binns Beach, Cape Conran Coastal Park",Cape Conran Coastal Park,Gippsland,beach_coast,river_creek,lake_wetland
cape-conran-coastal-park-dock-inlet-cape-conran-coastal-park,"Dock Inlet, Cape Conran Coastal Park",Cape Conran Coastal Park,Gippsland,beach_coast,river_creek,lake_wetland
cape-conran-coastal-park-fourth-beach-cape-conran-coastal-park,"Fourth Beach, Cape Conran Coastal Park",Cape Conran Coastal Park,Gippsland,beach_coast,river_creek,lake_wetland
cape-conran-coastal-park-gunnia-beach-cape-conran-coastal-park,"Gunnia Beach, Cape Conran Coastal Park",Cape Conran Coastal Park,Gippsland,beach_coast,river_creek,lake_wetland
cape-conran-coastal-park-pearl-point-cape-conran-coastal-park,"Pearl Point, Cape Conran Coastal Park",Cape Conran Coastal Park,Gippsland,beach_coast,river_creek,lake_wetland
cape-liptrap-coastal-park-bear-gully-cape-liptrap-coastal-park,"Bear Gully, Cape Liptrap Coastal Park",Cape Liptrap Coastal Park,Gippsland,beach_coast,valley_gorge,lake_wetland
cape-liptrap-coastal-park-five-mile-road-cape-liptrap-coastal-park,"Five Mile Road, Cape Liptrap Coastal Park",Cape Liptrap Coastal Park,Gippsland,beach_coast,valley_gorge,lake_wetland
croajingolong-national-park-mueller-camp-croajingolong-national-park,"Mueller Camp, Croajingolong National Park",Croajingolong National Park,Gippsland,river_creek,beach_coast,lake_wetland
croajingolong-national-park-shipwreck-creek-croajingolong-national-park,"Shipwreck Creek, Croajingolong National Park",Croajingolong National Park,Gippsland,river_creek,beach_coast,scrub_heath
croajingolong-national-park-swan-lake-croajingolong-national-park,"Swan Lake, Croajingolong National Park",Croajingolong National Park,Gippsland,beach_coast,lake_wetland,river_creek
croajingolong-national-park-thurra-river-croajingolong-national-park,"Thurra River, Croajingolong National Park",Croajingolong National Park,Gippsland,river_creek,beach_coast,mountains_alpine
croajingolong-national-park-wingan-inlet-croajingolong-national-park,"Wingan Inlet, Croajingolong National Park",Croajingolong National Park,Gippsland,river_creek,beach_coast,lake_wetland
marlo-coastal-reserve-corringle-slips-marlo-coastal-reserve,"Corringle Slips, Marlo Coastal Reserve",Marlo Coastal Reserve,Gippsland,beach_coast,river_creek,mountains_alpine
mcloughlins-beach-seaspray-coastal-reserve-reeves-beach-mcloughlins-beach-seaspray-coastal-reserve,"Reeves Beach, McLoughlins Beach - Seaspray Coastal Reserve",McLoughlins Beach - Seaspray Coastal Reserve,Gippsland,beach_coast,lake_wetland,river_creek
mitchell-river-national-park-woolshed-creek-camping-area-mitchell-river-national-park,"Woolshed Creek Camping Area, Mitchell River National Park",Mitchell River National Park,Gippsland,river_creek,mountains_alpine,
mount-wills-h-a-big-river-camp-area-mount-wills-h-a,"Big River Camp Area, Mount Wills H.A",Mount Wills H.A,Gippsland,river_creek,mountains_alpine,
peach-tree-creek-reserve-peachtree-creek-reserve-peach-tree-creek-reserve,"Peachtree Creek Reserve, Peach Tree Creek Reserve",Peach Tree Creek Reserve,Gippsland,river_creek,lake_wetland,
snowy-river-national-park-balley-hooley-snowy-river-national-park,"Balley Hooley, Snowy River National Park",Snowy River National Park,Gippsland,,,
snowy-river-national-park-hicks-snowy-river-national-park,"Hicks, Snowy River National Park",Snowy River National Park,Gippsland,,,
snowy-river-national-park-mckillops-west-camp-snowy-river-national-park,"McKillops West Camp, Snowy River National Park",Snowy River National Park,Gippsland,,river_creek,lake_wetland
snowy-river-national-park-raymond-creek-falls-snowy-river-national-park,"Raymond Creek Falls, Snowy River National Park",Snowy River National Park,Gippsland,river_creek,mountains_alpine,
snowy-river-national-park-waratah-flat-snowy-river-national-park,"Waratah Flat, Snowy River National Park",Snowy River National Park,Gippsland,mountains_alpine,river_creek,
snowy-river-national-park-west-track-camping-ground-snowy-river-national-park,"West Track Camping Ground, Snowy River National Park",Snowy River National Park,Gippsland,,river_creek,lake_wetland
wilsons-promontory-national-park-barry-creek-wilsons-promontory-national-park,"Barry Creek, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,mountains_alpine,lake_wetland
wilsons-promontory-national-park-five-mile-beach-wilsons-promontory-national-park,"Five Mile Beach, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,mountains_alpine,lake_wetland
wilsons-promontory-national-park-halfway-hut-wilsons-promontory-national-park,"Halfway Hut, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,,
wilsons-promontory-national-park-johnny-souey-cove-wilsons-promontory-marine-park,"Johnny Souey Cove, Wilsons Promontory Marine Park",Wilsons Promontory National Park,Gippsland,beach_coast,mountains_alpine,lake_wetland
wilsons-promontory-national-park-little-waterloo-bay-wilsons-promontory-national-park,"Little Waterloo Bay, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,mountains_alpine,lake_wetland
wilsons-promontory-national-park-lower-barry-creek-wilsons-promontory-national-park,"Lower Barry Creek, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,mountains_alpine,lake_wetland
wilsons-promontory-national-park-refuge-cove-wilsons-promontory-national-park,"Refuge Cove, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,mountains_alpine,lake_wetland
wilsons-promontory-national-park-roaring-meg-wilsons-promontory-national-park,"Roaring Meg, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,river_creek,valley_gorge
wilsons-promontory-national-park-sealers-cove-wilsons-promontory-national-park,"Sealers Cove, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,river_creek,
wilsons-promontory-national-park-stockyard-camp-wilsons-promontory-national-park,"Stockyard Camp, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,river_creek,mountains_alpine
wilsons-promontory-national-park-tidal-river-norman-bay-wilsons-promontory-national-park,"Tidal River / Norman Bay, Wilsons Promontory National Park",Wilsons Promontory National Park,Gippsland,beach_coast,river_creek,mountains_alpine
kooyoora-state-park-melville-caves-camping-area-kooyoora-state-park,"Melville Caves Camping Area, Kooyoora State Park",Kooyoora State Park,Goldfields,beach_coast,mountains_alpine,forest
paddys-ranges-state-park-camping-area-adjacent-to-karri-track-paddys-ranges-state-park,"Camping Area (adjacent to Karri Track), Paddys Ranges State Park",Paddys Ranges State Park,Goldfields,valley_gorge,mountains_alpine,beach_coast
crawford-river-r-p-hiscocks-camping-area-crawford-river-r-p,"Hiscocks Camping Area, Crawford River R.P",Crawford River R.P,Grampians,,,
