id,name,parkName,lat,lng,lga,tourismRegion,googleQuery,googleQueryUrl,,
black-range-state-park-burrunj-campground-black-range-state-park,"Burrunj Campground, Black Range State Park",Black Range State Park,-37.21417002,142.0882441,SOUTHERN GRAMPIANS SHIRE,Grampians,"Burrunj Campground, Black Range State Park Black Range State Park site:parks.vic.gov.au/places-to-see",,,
buchan-at-cave-reserve-buchan-work-centre-buchan-at-cave-reserve,"Buchan, Work Centre, Buchan (AT) Cave Reserve",Buchan (AT) Cave Reserve,-37.49248701,148.162991,EAST GIPPSLAND SHIRE,Gippsland,"Buchan, Work Centre, Buchan (AT) Cave Reserve Buchan (AT) Cave Reserve site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/parks/buchan-caves-reserve/where-to-stay/buchan-caves-camping,,
bunyip-state-park-nash-creek-camping-area-bunyip-state-park,"Nash Creek Camping Area, Bunyip State Park",Bunyip State Park,-37.94658003,145.6877279,CARDINIA SHIRE,Yarra Valley and Dandenong Ranges,"Nash Creek Camping Area, Bunyip State Park Bunyip State Park site:parks.vic.gov.au/places-to-see",https://www.google.com/search?q=Nash+Creek+Camping+Area%2C+Bunyip+State+Park+Bunyip+State+Park+site%3Aparks.vic.gov.au%2Fplaces-to-see,https://www.parks.vic.gov.au/places-to-see/parks/bunyip-state-park/where-to-stay/camping-in-bunyip-state-park,"call it ""Bunyip State Park "
burrowa-pine-mountain-national-park-black-mountain-burrowa-pine-mountain-national-park,"Black Mountain, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.12526335,147.7167814,TOWONG SHIRE,High Country,"Black Mountain, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see",,,
burrowa-pine-mountain-national-park-bluegum-camp-burrowa-pine-mountain-national-park,"Bluegum Camp, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.12466472,147.7696719,TOWONG SHIRE,High Country,"Bluegum Camp, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see",,,
burrowa-pine-mountain-national-park-bluff-creek-burrowa-pine-mountain-national-park,"Bluff Creek, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.12262904,147.777764,TOWONG SHIRE,High Country,"Bluff Creek, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see",,,
burrowa-pine-mountain-national-park-hinces-creek-burrowa-pine-mountain-national-park,"Hinces Creek, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.08573002,147.7677372,TOWONG SHIRE,High Country,"Hinces Creek, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see",,,
burrowa-pine-mountain-national-park-hinces-saddle-burrowa-pine-mountain-national-park,"Hinces Saddle, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.10926938,147.7077476,TOWONG SHIRE,High Country,"Hinces Saddle, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see",,,
burrowa-pine-mountain-national-park-pine-mountain-picnic-area-burrowa-pine-mountain-national-park,"Pine Mountain Picnic Area, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.00249339,147.785126,TOWONG SHIRE,High Country,"Pine Mountain Picnic Area, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see",,,
burrowa-pine-mountain-national-park-ross-lookout-burrowa-pine-mountain-national-park,"Ross Lookout, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.13191758,147.7345126,TOWONG SHIRE,High Country,"Ross Lookout, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see",,,
burrowa-pine-mountain-national-park-the-ridge-burrowa-pine-mountain-national-park,"The Ridge, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.06034795,147.746838,TOWONG SHIRE,High Country,"The Ridge, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see",,,
castlemaine-diggings-national-heritage-park-vaughan-spring-castlemaine-diggings-national-heritage-park,"Vaughan Spring, Castlemaine Diggings National Heritage Park",Castlemaine Diggings National Heritage Park,-37.162701,144.2164972,MOUNT ALEXANDER SHIRE,Goldfields,"Vaughan Spring, Castlemaine Diggings National Heritage Park Castlemaine Diggings National Heritage Park site:parks.vic.gov.au/places-to-see",,,
cobram-r-p-big-toms-bend-cobram-r-p,"Big Toms Bend, Cobram R.P",Cobram R.P,-35.90274402,145.652494,MOIRA SHIRE,Murray,"Big Toms Bend, Cobram R.P Cobram R.P site:parks.vic.gov.au/places-to-see",,,
cobram-r-p-horse-shoe-bend-cobram-r-p,"Horse-shoe Bend, Cobram R.P",Cobram R.P,-35.92772199,145.693858,MOIRA SHIRE,Murray,"Horse-shoe Bend, Cobram R.P Cobram R.P site:parks.vic.gov.au/places-to-see",,,
cobram-r-p-scotts-beach-cobram-r-p,"Scotts Beach, Cobram R.P",Cobram R.P,-35.92869102,145.6753309,MOIRA SHIRE,Murray,"Scotts Beach, Cobram R.P Cobram R.P site:parks.vic.gov.au/places-to-see",,,
crawford-river-r-p-hiscocks-camping-area-crawford-river-r-p,"Hiscocks Camping Area, Crawford River R.P",Crawford River R.P,-37.94107401,141.4464091,GLENELG SHIRE,Grampians,"Hiscocks Camping Area, Crawford River R.P Crawford River R.P site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/hiscocks-camping-area,,
creswick-r-p-eatons-dam-creswick-r-p,"Eatons Dam, Creswick R.P.",Creswick R.P.,-37.44410499,143.930457,HEPBURN SHIRE,Daylesford and Macedon Ranges,"Eatons Dam, Creswick R.P. Creswick R.P. site:parks.vic.gov.au/places-to-see",,,
creswick-r-p-slatey-creek-picnic-area-no-1-creswick-r-p,"Slatey Creek Picnic Area No 1, Creswick R.P.",Creswick R.P.,-37.462797,143.904046,HEPBURN SHIRE,Daylesford and Macedon Ranges,"Slatey Creek Picnic Area No 1, Creswick R.P. Creswick R.P. site:parks.vic.gov.au/places-to-see",,,
creswick-r-p-slatey-creek-picnic-area-no-2-creswick-r-p,"Slatey Creek Picnic Area No 2, Creswick R.P.",Creswick R.P.,-37.46598102,143.9050061,HEPBURN SHIRE,Daylesford and Macedon Ranges,"Slatey Creek Picnic Area No 2, Creswick R.P. Creswick R.P. site:parks.vic.gov.au/places-to-see",,,
creswick-r-p-slatey-creek-picnic-area-no-3-creswick-r-p,"Slatey Creek Picnic Area No 3, Creswick R.P.",Creswick R.P.,-37.46766096,143.9085082,HEPBURN SHIRE,Daylesford and Macedon Ranges,"Slatey Creek Picnic Area No 3, Creswick R.P. Creswick R.P. site:parks.vic.gov.au/places-to-see",,,
